SEED4_INIT=0000000a
STACKSTORE cycle=28701 addr=0002573c strb=f data=00000214
STACKSTORE cycle=28710 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=28719 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=29684 addr=0002573c strb=f data=00000204
STACKSTORE cycle=29693 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=29702 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=29716 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=29725 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=29734 addr=00025728 strb=f data=00000000
STACKSTORE cycle=30053 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=30076 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=30085 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=30094 addr=00025728 strb=f data=00000000
STACKSTORE cycle=30117 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=30126 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=30135 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=30879 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=30896 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=30905 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=30914 addr=00025728 strb=f data=00000000
STACKSTORE cycle=30931 addr=0002573c strb=f data=00000214
STACKSTORE cycle=30940 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=30949 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=31914 addr=0002573c strb=f data=00000204
STACKSTORE cycle=31923 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=31932 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=31946 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=31955 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=31964 addr=00025728 strb=f data=00000000
STACKSTORE cycle=32294 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=32317 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=32326 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=32335 addr=00025728 strb=f data=00000000
STACKSTORE cycle=32358 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=32367 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=32376 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=33120 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=33137 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=33146 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=33155 addr=00025728 strb=f data=00000000
STACKSTORE cycle=33172 addr=0002573c strb=f data=00000214
STACKSTORE cycle=33181 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=33190 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=34155 addr=0002573c strb=f data=00000204
STACKSTORE cycle=34164 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=34173 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=34187 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=34196 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=34205 addr=00025728 strb=f data=00000000
STACKSTORE cycle=34524 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=34547 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=34556 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=34565 addr=00025728 strb=f data=00000000
STACKSTORE cycle=34588 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=34597 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=34606 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=35350 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=35367 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=35376 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=35385 addr=00025728 strb=f data=00000000
STACKSTORE cycle=35402 addr=0002573c strb=f data=00000214
STACKSTORE cycle=35411 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=35420 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=36365 addr=0002573c strb=f data=00000204
STACKSTORE cycle=36374 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=36383 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=36397 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=36406 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=36415 addr=00025728 strb=f data=00000000
STACKSTORE cycle=36745 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=36768 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=36777 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=36786 addr=00025728 strb=f data=00000000
STACKSTORE cycle=36809 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=36818 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=36827 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=37571 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=37588 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=37597 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=37606 addr=00025728 strb=f data=00000000
STACKSTORE cycle=37623 addr=0002573c strb=f data=00000214
STACKSTORE cycle=37632 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=37641 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=38586 addr=0002573c strb=f data=00000204
STACKSTORE cycle=38595 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=38604 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=38618 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=38627 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=38636 addr=00025728 strb=f data=00000000
STACKSTORE cycle=38955 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=38978 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=38987 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=38996 addr=00025728 strb=f data=00000000
STACKSTORE cycle=39019 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=39028 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=39037 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=39781 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=39798 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=39807 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=39816 addr=00025728 strb=f data=00000000
STACKSTORE cycle=39833 addr=0002573c strb=f data=00000214
STACKSTORE cycle=39842 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=39851 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=40796 addr=0002573c strb=f data=00000204
STACKSTORE cycle=40805 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=40814 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=40828 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=40837 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=40846 addr=00025728 strb=f data=00000000
STACKSTORE cycle=41187 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=41210 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=41219 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=41228 addr=00025728 strb=f data=00000000
STACKSTORE cycle=41251 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=41260 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=41269 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=42013 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=42030 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=42039 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=42048 addr=00025728 strb=f data=00000000
PROBE cycle=1000000 pc=00005890 if_id=00000000 ex_mem=00005890 rstate=1 wstate=0 arvalid=1 rvalid=0 awvalid=0 wvalid=0 bvalid=0 x16=000000ff x17=0000ddec x18=00000092 x20=00000000 x21=447a0000 x22=000001a2
WBTRACE cycle=5000540 pc=00005b58 rd=20 data=00000000 wsel=1 ramrop=1 addr=00000000 ren=0 rvalid=0
WBTRACE cycle=5000544 pc=00005b5c rd=21 data=447a0000 wsel=1 ramrop=1 addr=00000000 ren=0 rvalid=0
